gender,salary
men,89900.0
men,56200.0
men,105100.0
men,112300.0
men,40800.0
men,51200.0
men,84500.0
men,72400.0
men,80300.0
men,60000.0
men,110000.0
men,106100.0
men,82700.0
men,119900.0
men,95200.0
men,59800.0
men,92000.0
men,57800.0
men,109900.0
men,79400.0
men,75800.0
men,63700.0
men,124000.0
men,76600.0
men,69600.0
men,71500.0
men,97400.0
men,91800.0
men,93400.0
men,94000.0
men,171000.0
men,70100.0
men,67600.0
men,60800.0
men,100300.0
men,120000.0
men,77700.0
men,60200.0
men,60600.0
men,101500.0
men,104800.0
men,97700.0
men,64000.0
men,87700.0
men,84200.0
men,87300.0
men,109600.0
men,87400.0
men,102500.0
men,82800.0
men,89400.0
men,100800.0
men,48500.0
men,72300.0
men,68600.0
men,64600.0
men,73400.0
men,136400.0
men,59700.0
men,113400.0
men,44800.0
men,71900.0
men,85600.0
men,99200.0
men,103700.0
men,106700.0
men,71500.0
men,68700.0
men,109100.0
men,75600.0
men,51700.0
men,54400.0
men,58600.0
men,96200.0
men,85000.0
men,102900.0
men,69600.0
men,85400.0
men,100600.0
men,72500.0
men,94800.0
men,64100.0
men,71200.0
men,70700.0
men,53200.0
men,95800.0
men,68600.0
men,81200.0
men,95600.0
men,94500.0
men,102000.0
men,78100.0
men,69700.0
men,78600.0
men,44800.0
men,48700.0
men,50900.0
men,57000.0
men,93000.0
men,58900.0
men,70800.0
men,127400.0
men,71300.0
men,104600.0
men,58300.0
men,75200.0
men,58000.0
men,71800.0
men,108500.0
men,44200.0
men,94100.0
men,87800.0
men,65600.0
men,48700.0
men,82900.0
men,67100.0
men,87700.0
men,81400.0
men,141600.0
men,74300.0
women,50100.0
women,73700.0
women,74600.0
women,107500.0
women,90900.0
women,78000.0
women,111100.0
women,47600.0
women,56700.0
women,51700.0
women,61400.0
women,44800.0
women,85200.0
women,64800.0
women,43400.0
women,50300.0
women,76900.0
women,91000.0
women,131800.0
women,176700.0
women,79400.0
women,50700.0
women,35200.0
women,75800.0
women,53600.0
women,60900.0
women,57200.0
women,66500.0
women,97800.0
women,73100.0
women,66100.0
women,49900.0
women,40700.0
women,59500.0
women,68400.0
women,122500.0
women,72500.0
women,95300.0
women,59300.0
women,47600.0
women,51100.0
women,55200.0
women,137500.0
women,53500.0
women,91000.0
women,52100.0
women,93700.0
women,78700.0
women,66200.0
women,68700.0
women,56400.0
women,80200.0
women,60100.0
women,47000.0
women,46200.0
women,73500.0
women,115300.0
women,73200.0
women,67000.0
women,76200.0
women,105700.0
women,74600.0
women,61000.0
women,99100.0
women,79800.0
women,113700.0
women,73800.0
women,47000.0
women,44900.0
women,118000.0
women,120800.0
women,65700.0
women,61500.0
women,111000.0
women,48800.0
women,52200.0
women,85500.0
women,61300.0
women,69400.0
women,66000.0
women,77500.0
women,109100.0
women,71600.0
women,85500.0
women,36100.0
women,68500.0
women,53100.0
women,47100.0
women,52500.0
women,62500.0
women,93300.0
women,45500.0
women,70200.0
women,59600.0
women,62600.0
women,95900.0
women,82600.0
women,106700.0
women,66200.0
women,55700.0
women,64800.0
women,75200.0
women,73600.0
women,49200.0
women,71600.0
women,74800.0
women,155700.0
women,126800.0
women,52900.0
women,63500.0
women,43600.0
women,57600.0
women,77000.0
women,102300.0
women,55100.0
women,56400.0
women,35000.0
women,66000.0
women,49500.0
women,58700.0
